Category,References,Value,Stock Code,Unit Cost,PCB Package,Description,Name
Capacitors,C1,10uF,399-C0603C106M7PAC7411CT-ND,"?0,25",0603_CAP,CAP CER 10UF 4V X5R 0603,C0603C106M7PAC7411
Capacitors,C2,0.1uF,399-1096-1-ND,"?0,11",0603_CAP,CAP CER 0.1UF 16V X7R 0603,C0603C104K4RACTU
Capacitors,C3,0.1uF,399-1096-1-ND,"?0,11",0603_CAP,CAP CER 0.1UF 16V X7R 0603,C0603C104K4RACTU
Capacitors,C4,1nF,399-C0603C102J5RAC7411CT-ND,"?0,10",0603_CAP,CAP CER 1000PF 50V X7R 0603,C0603C102J5RAC7411
Capacitors,C5,1nF,399-C0603C102J5RAC7411CT-ND,"?0,10",0603_CAP,CAP CER 1000PF 50V X7R 0603,C0603C102J5RAC7411
Capacitors,C6,10uF,399-C0603C106M7PAC7411CT-ND,"?0,25",0603_CAP,CAP CER 10UF 4V X5R 0603,C0603C106M7PAC7411
Capacitors,C7,0.1uF,399-1096-1-ND,"?0,11",0603_CAP,CAP CER 0.1UF 16V X7R 0603,C0603C104K4RACTU
Capacitors,C8,10uF,399-3684-1-ND,"?0,37",1206 CAP POLARIZE,CAP TANT 10UF 10% 10V 1206,T491A106K010AT
Capacitors,C9,1nF,399-C0603C102J5RAC7411CT-ND,"?0,10",0603_CAP,CAP CER 1000PF 50V X7R 0603,C0603C102J5RAC7411
Resistors,R1,10k,311-10.0KHRCT-ND,"?0,10",0603_RES,RES SMD 10K OHM 1% 1/10W 0603,RC0603FR-0710KL
Resistors,R2,100R,311-100HRCT-ND,"?0,10",0603_RES,RES SMD 100 OHM 1% 1/10W 0603,RC0603FR-07100RL
Resistors,R3,10k,311-10.0KHRCT-ND,"?0,10",0603_RES,RES SMD 10K OHM 1% 1/10W 0603,RC0603FR-0710KL
Resistors,R4,255R,311-255HRCT-ND,"?0,10",0603_RES,RES SMD 255 OHM 1% 1/10W 0603,RC0603FR-07255RL
Resistors,R5,100R,311-100HRCT-ND,"?0,10",0603_RES,RES SMD 100 OHM 1% 1/10W 0603,RC0603FR-07100RL
Resistors,R6,255R,311-255HRCT-ND,"?0,10",0603_RES,RES SMD 255 OHM 1% 1/10W 0603,RC0603FR-07255RL
Resistors,R7,100R,311-100HRCT-ND,"?0,10",0603_RES,RES SMD 100 OHM 1% 1/10W 0603,RC0603FR-07100RL
Resistors,R8,255R,311-255HRCT-ND,"?0,10",0603_RES,RES SMD 255 OHM 1% 1/10W 0603,RC0603FR-07255RL
Resistors,R9,100R,311-100HRCT-ND,"?0,10",0603_RES,RES SMD 100 OHM 1% 1/10W 0603,RC0603FR-07100RL
Resistors,R10,255R,311-255HRCT-ND,"?0,10",0603_RES,RES SMD 255 OHM 1% 1/10W 0603,RC0603FR-07255RL
Integrated Circuits,U1,ESP32-WROOM-32D,1965-ESP32-WROOM-32D(4MB)CT-ND,"?3,80",ESP32-WROOM-32D-UPDATED,RX TXRX MOD WIFI TRACE ANT SMD,ESP32-WROOM-32D
Integrated Circuits,U2,MCP4921-E/MS,MCP4921-E/MS-ND,"?2,19",SOP65P490X110-8N,IC DAC 12BIT V-OUT 8MSOP,MCP4921-E/MS
Miscellaneous,GND,PIN 4015,,,PIN 4015,,PIN 4015
Miscellaneous,J1,SIL-100-03,,,SIL-100-03,0.1in pitch header block,SIL-100-03
Miscellaneous,J4,690367280476,732-1964-1-ND,"?0,59",690367280476,CONN RCPT 4POS 0.1 TIN SMD,690367280476
Miscellaneous,LD1,155124M173200,732-11414-1-ND,"?0,50",155124M173200,LED RGB CLEAR 1204 SMD R/A,155124M173200
Miscellaneous,LD2,155124M173200,732-11414-1-ND,"?0,50",155124M173200,LED RGB CLEAR 1204 SMD R/A,155124M173200
Miscellaneous,LD3,155124M173200,732-11414-1-ND,"?0,50",155124M173200,LED RGB CLEAR 1204 SMD R/A,155124M173200
Miscellaneous,LD4,155124M173200,732-11414-1-ND,"?0,50",155124M173200,LED RGB CLEAR 1204 SMD R/A,155124M173200
Miscellaneous,RXD,PIN 4015,,,PIN 4015,,PIN 4015
Miscellaneous,S1,450404015514,732-13665-1-ND,"?0,75",450404015514,MINI SLIDE SWITCH 6.7 X 2.7 MM.,450404015514
Miscellaneous,S3,434153017835,732-10143-1-ND,"?0,56",434153017835,SWITCH TACTILE SPST-NO 0.05A 12V,434153017835
Miscellaneous,TXD,PIN 4015,,,PIN 4015,,PIN 4015
